datetime,open,high,low,close,volume,return
20240229,79.09,79.99,78.35,79.11,275400840,0.018671130569147598
20240301,80.0,82.3,79.44,82.28,314574220,0.040070787511060635
20240304,84.13,87.7,83.72,85.24,399264890,0.03597472046669892
20240305,85.24,86.1,83.42,85.96,339007010,0.008446738620365934
20240306,88.02,89.72,87.03,88.7,389958330,0.0318752908329456
20240307,90.16,92.77,89.6,92.67,374914140,0.04475760992108224
20240308,95.07,97.4,86.51,87.53,703756650,-0.055465630732707494
20240311,86.43,88.8,84.3,85.77,398568960,-0.020107391751399528
20240312,88.05,91.96,86.15,91.91,427688050,0.07158680191209044
20240313,91.06,91.5,88.44,90.89,410974110,-0.011097813078011054
20240314,89.58,90.65,86.6,87.94,392797850,-0.03245681593134564
20240315,86.93,89.55,86.26,87.84,348677390,-0.0011371389583806346
20240318,90.38,92.41,87.09,88.46,429680010,0.007058287795992602
20240319,86.67,90.54,85.01,89.4,443277570,0.010626271761248196
20240320,89.8,90.41,88.22,90.37,312045420,0.010850111856823164
20240321,92.3,92.65,90.41,91.44,303470000,0.01184021245988709
20240322,91.14,94.78,90.83,94.29,387254280,0.03116797900262469
20240325,94.0,96.77,93.51,95.0,362634870,0.0075299607593593
20240326,95.85,96.38,92.5,92.56,338848430,-0.025684210526315754
20240327,93.1,93.24,89.12,90.25,398558490,-0.02495678478824548
20240328,90.0,91.3,89.19,90.36,273192210,0.0012188365650969146
20240401,90.29,92.23,89.2,90.36,314840150,0.0
20240402,88.49,90.09,87.62,89.45,289837300,-0.01007082779991142
20240403,88.49,90.37,88.4,88.96,261838300,-0.005477920626048127
20240404,90.42,90.63,85.88,85.91,283777460,-0.03428507194244601
20240405,86.87,88.48,85.97,88.01,265866760,0.024444185775811977
20240408,88.7,88.83,86.73,87.13,184548140,-0.009998863765481314
20240409,87.44,87.64,83.02,85.35,347833790,-0.02042924365890053
20240410,83.93,87.4,83.71,87.04,282062750,0.019800820152314103
20240411,87.44,90.74,86.93,90.62,273567010,0.04113051470588225
20240412,89.7,90.17,87.53,88.19,271009000,-0.026815272566762416
20240415,89.1,90.61,85.94,86.0,293652820,-0.02483274747703823
20240416,86.47,88.12,86.06,87.42,250676590,0.0165116279069768
20240417,88.32,88.78,83.95,84.04,337087300,-0.038663921299473714
20240418,84.98,86.19,82.4,84.67,302357720,0.007496430271299426
20240419,83.13,84.32,75.61,76.2,569699410,-0.10003543167591822
20240422,78.1,80.03,76.4,79.52,391394430,0.0435695538057741
20240423,80.77,82.77,80.26,82.42,287279100,0.03646881287726367
20240424,83.95,84.08,79.18,79.68,337109690,-0.03324435816549376
20240425,78.97,83.32,78.22,82.63,263635670,0.03702309236947787
20240426,83.83,88.33,83.39,87.74,363275280,0.06184194602444637
20240429,87.6,87.99,85.27,87.76,262527860,0.00022794620469590576
20240430,87.24,88.82,86.3,86.4,227798130,-0.015496809480401108
20240501,85.17,86.0,81.25,83.04,389651650,-0.03888888888888886
20240502,84.42,86.24,83.2,85.82,252142560,0.03347784200385351
20240503,87.79,89.28,87.04,88.79,269566130,0.03460731764157554
20240506,89.39,92.22,89.05,92.14,244656410,0.03772947403986926
20240507,91.08,91.78,89.01,90.55,302150410,-0.017256349034078577
20240508,89.5,91.19,89.42,90.41,216748330,-0.0015461071231364087
20240509,90.54,91.07,88.23,88.75,262401440,-0.018360800796372034
20240510,90.3,91.4,89.23,89.88,227270170,0.01273239436619722
20240513,90.48,91.0,88.53,90.4,190163660,0.005785491766800321
20240514,89.59,91.65,88.93,91.36,202167730,0.010619469026548645
20240515,92.47,94.86,91.6,94.63,264304790,0.03579246935201397
20240516,94.91,95.82,94.1,94.36,204395530,-0.002853217795624974
20240517,94.37,94.74,91.81,92.48,229154410,-0.019923696481559894
20240520,93.75,95.2,93.44,94.78,208729710,0.024870242214532823
20240521,93.59,95.4,93.18,95.39,202676990,0.006435956952943744
20240522,95.46,96.02,93.25,94.95,268921130,-0.00461264283467866
20240523,102.03,106.32,101.52,103.8,487224150,0.09320695102685628
20240524,104.45,106.48,103.0,106.47,258729770,0.025722543352601157
20240528,110.2,114.94,109.88,113.9,383135170,0.06978491593876224
20240529,113.05,115.49,110.92,114.83,327073460,0.008165057067603065
20240530,114.65,115.82,109.66,110.5,280016760,-0.03770791604981272
20240531,112.5,112.72,106.98,109.63,312903700,-0.007873303167420853
20240603,113.62,115.0,112.0,115.0,256417590,0.04898294262519398
20240604,115.7,116.6,114.05,116.44,238996210,0.012521739130434861
20240605,118.37,122.45,117.47,122.44,290102890,0.051528684300927496
20240606,124.05,125.59,118.32,121.0,390333210,-0.011760862463247257
20240607,119.79,121.69,118.02,120.89,239856120,-0.0009090909090908594
20240610,120.35,123.1,117.01,121.79,248406461,0.007444784514848202
20240611,121.77,122.87,118.74,120.91,173597143,-0.007225552179981998
20240612,123.05,126.88,122.57,125.2,224668029,0.03548093623356219
20240613,129.39,129.8,127.16,129.61,193268816,0.03522364217252405
20240614,129.96,132.84,128.32,131.88,238270147,0.01751408070364935
20240617,132.93,133.73,129.58,130.98,213768169,-0.006824385805277555
20240618,131.14,136.33,130.69,135.58,230334735,0.03511986562834046
20240620,139.8,140.76,129.52,130.78,377927010,-0.035403451836554134
20240621,127.11,130.63,124.3,126.57,324491295,-0.032191466585104855
20240624,123.24,124.46,118.04,118.11,342585677,-0.06684048352690208
20240625,121.13,126.5,119.32,126.09,310612679,0.06756413512827031
20240626,126.13,128.12,122.6,126.4,256536932,0.002458561345070942
20240627,124.09,126.41,122.92,123.99,182568928,-0.019066455696202578
20240628,124.57,127.71,122.75,123.54,227551840,-0.0036293249455600085
20240701,123.5,124.84,118.83,124.3,226458340,0.006151853650639305
20240702,121.11,123.41,121.03,122.67,164103360,-0.013113435237328996
20240703,121.66,128.28,121.36,128.28,164203109,0.045732452922474964
20240705,127.3,128.85,125.68,125.83,158243237,-0.019098846273776116
20240708,127.49,130.77,127.04,128.2,183746739,0.018834936024795246
20240709,130.36,133.82,128.65,131.38,225077441,0.024804992199688014
20240710,134.03,135.1,132.42,134.91,177365584,0.02686862536154666
20240711,135.76,136.15,127.05,127.4,273472507,-0.05566674079015632
20240712,128.27,131.92,127.22,129.24,195434732,0.014442700156985788
20240715,130.62,131.39,127.18,128.44,158914765,-0.006190034045187365
20240716,128.44,129.04,124.58,126.36,160599187,-0.01619433198380571
20240717,121.35,121.85,116.72,117.99,283250700,-0.06623931623931623
20240718,121.89,122.4,116.56,121.09,247559326,0.026273413001101753
20240719,120.35,121.6,117.37,117.93,152848409,-0.02609629201420427
20240722,120.35,124.07,119.86,123.54,189117939,0.047570592724497596
20240723,122.78,124.69,122.1,122.59,129757316,-0.007689817063299409
20240724,119.19,119.95,113.44,114.25,227793220,-0.06803165021616775
20240725,113.07,116.63,106.3,112.28,353202854,-0.017242888402625778
20240726,116.18,116.2,111.58,113.06,212467501,0.006946918418240022
20240729,113.69,116.28,111.3,111.59,192366489,-0.013001945869449805
20240730,111.52,111.99,102.54,103.73,368614125,-0.07043641903396358
20240731,112.9,118.34,110.88,117.02,337444533,0.12812108358237717
20240801,117.52,120.16,106.81,109.21,404099947,-0.06674072808067
20240802,103.76,108.72,101.4,107.27,350883122,-0.017763941031041064
20240805,92.11,103.41,90.79,100.45,372866758,-0.06357788757341287
20240806,103.84,107.71,100.55,104.25,296449466,0.03782976605276245
20240807,107.81,108.68,98.69,98.91,313543181,-0.05122302158273384
20240808,102.0,105.5,97.52,104.97,299731923,0.06126781922960278
20240809,105.64,106.6,103.43,104.75,231405373,-0.002095836905782633
20240812,106.32,111.07,106.26,109.02,264846865,0.04076372315035792
20240813,112.44,116.23,111.58,116.14,233556044,0.0653091175931022
20240814,118.5,118.6,114.07,118.08,265427667,0.016703977957637228
20240815,118.72,123.24,117.47,122.86,242705443,0.04048102981029822
20240816,121.94,125.0,121.18,124.58,225841101,0.013999674426176112
20240819,124.3,130.0,123.42,130.0,249056904,0.043506180767378444
20240820,128.4,129.88,125.89,127.25,236168118,-0.02115384615384619
20240821,127.3,129.35,126.66,128.5,207680846,0.00982318271119853
20240822,130.04,130.75,123.1,123.74,292836587,-0.03704280155642026
